what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1485180629342
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1485180629528
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1485180629577
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1485180629682
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1485180629685
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1485180629994
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180640314
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180641608
started,bundle,org.eclipse.help.base,3.5.0.v201006080911,"org.eclipse.help.base",1485180656319
started,bundle,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui",1485180656340
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1485180656389
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1485180656449
started,bundle,org.eclipse.equinox.http.registry,1.1.0.v20100503,"org.eclipse.equinox.http.registry",1485180656665
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180657027
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1485180657127
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20100421,"org.eclipse.equinox.jsp.jasper",1485180657130
started,bundle,org.eclipse.help.webapp,3.5.0.v20100507,"org.eclipse.help.webapp",1485180658009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180680087
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1485180703868
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1485180703919
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1485180703948
opened,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.TypeHierarchy",1485180715231
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.TypeHierarchy",1485180715272
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1485180717175
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1485180723287
executed,command,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.perspective",1485180723287
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1485180724942
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1485180725233
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1485180725324
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1485180728811
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1485180738243
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180738262
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1485180738333
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1485180738403
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180738580
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485180738819
